<UNK> 1.0	SPN
අතිශෝක්තිත් 1.0	a t^ i s^ o: k t^ i t^
අතිශෝක්තියක් 1.0	a t^ i s^ o: k t^ i y a k
අතිසරල 1.0	a t^ i s @ r @ l @
අතිසාර්ථක 1.0	a t^ i s a: r t^ @ k @
අතීත 1.0	a t^ i: t^ @
අතීතකාමී 1.0	a t^ i: t^ @ k a: m i:
අතීතය 1.0	a t^ i: t^ @ y @
අතීතයක 1.0	a t^ i: t^ @ y @ k @
අතීතයක් 1.0	a t^ i: t^ @ y a k
අතීතයට 1.0	a t^ i: t^ @ y @ t @
අතීතයෙහි 1.0	a t^ i: t^ @ y e h i
අතීතයේ 1.0	a t^ i: t^ @ y e:
අතීතියේ 1.0	a t^ i: t^ i y e:
අතීතෙ 1.0	a t^ i: t^ e
අතු 1.0	a t^ u
අතුගානවා 1.0	a t^ u g a: n @ w a:
අතුගාන්න 1.0	a t^ u g a: n n @
අතුගාලා 1.0	a t^ u g a: l a:
අතුපතර 1.0	a t^ u p @ t^ @ r @
අතුරන 1.0	a t^ u r @ n @
අතුරන්න 1.0	a t^ u r a n n @
අතුරමින් 1.0	a t^ u r @ m i n
අතුරලියේ 1.0	a t^ u r @ l i y e:
අතුරා 1.0	a t^ u r a:
අතුරු 1.0	a t^ u r u
අතුරුණුවක් 1.0	a t^ u r u n u w a k
අතුරුදන් 1.0	a t^ u r u d^ a n
අතුරුදන්වීමෙන් 1.0	a t^ u r u d^ a n w i: m e n
අතුරුදහන් 1.0	a t^ u r u d^ @ h a n
අතුරුදහන්වූවන් 1.0	a t^ u r u d^ @ h a n w u: w a n
අතුරුන් 1.0	a t^ u r u n
අතුරුපස 1.0	a t^ u r u p @ s @
අතුරුඵල 1.0	a t^ u r u p @ l @
අතුරුමංවලින් 1.0	a t^ u r u m a x w @ l i n
අතුරුසිදුරු 1.0	a t^ u r u s i d^ u r u
අතුරෙන් 1.0	a t^ u r e n
අතුල 1.0	a t^ u l @
අතුලගේ 1.0	a t^ u l @ g e:
අතුවල 1.0	a t^ u w @ l @
අතුවලට 1.0	a t^ u w @ l @ t @
අතුවලින් 1.0	a t^ u w @ l i n
අතෘප්තිකර 1.0	a t^ r u p t^ i k @ r @
අතෘප්තිමත් 1.0	a t^ r u p t^ i m a t^
අතෘප්තිය 1.0	a t^ r u p t^ i y @
අතෙත් 1.0	a t^ e t^
අතෙහි 1.0	a t^ e h i
අතේ 1.0	a t^ e:
අතේපත්තු 1.0	a t^ e: p a t^ t^ u
අතේම 1.0	a t^ e: m @
අථක්ඛාවචර 1.0	a t^ a k k a: w @ c^ @ r @
අථර්ව 1.0	a t^ a r w @
අද 1.0	a d^ @
අදක් 1.0	a d^ a k
අදක්ෂතා 1.0	a d^ a k s^ @ t^ a:
අදක්ෂම 1.0	a d^ a k s^ @ m @
අදට 1.0	a d^ @ t @
අදටත් 1.0	a d^ @ t a t^
අදත් 1.0	a d^ a t^
අදත්තාදානය 1.0	a d^ a t^ t^ a: d^ a: n @ y @
අදනම් 1.0	a d^ @ n a m
අදනෙ 1.0	a d^ @ n e
අදපවා 1.0	a d^ @ p @ w a:
අදමයි 1.0	a d^ @ m a y i
අදමිටු 1.0	a d^ @ m i t u
අදයි 1.0	a d^ a y i
අදර් 1.0	a d^ @ r
අදරේ 1.0	a d^ @ r e:
අදලත්වයෙන් 1.0	a d^ @ l a t^ w @ y e n
අදවත් 1.0	a d^ @ w a t^
අදහති 1.0	a d^ @ h a t^ i
අදහන 1.0	a d^ @ h a n @
අදහනවා 1.0	a d^ @ h a n @ w a:
අදහනවානම් 1.0	a d^ @ h a n @ w a: n a m
අදහන්න 1.0	a d^ @ h a n n @
අදහන්නාට 1.0	a d^ @ h a n n a: t @
අදහන්නේ 1.0	a d^ @ h a n n e:
අදහස 1.0	a d^ @ h a s @
අදහසක් 1.0	a d^ @ h a s a k
අදහසකි 1.0	a d^ @ h a s @ k i
අදහසකින් 1.0	a d^ @ h a s @ k i n
අදහසකුත් 1.0	a d^ @ h a s @ k u t^
අදහසට 1.0	a d^ @ h a s @ t @
අදහසත් 1.0	a d^ @ h a s a t^
අදහසයි 1.0	a d^ @ h a s a y i
අදහස් 1.0	a d^ @ h a s
අදහස්වල 1.0	a d^ @ h a s w @ l @
අදහස්වලට 1.0	a d^ @ h a s w @ l @ t @
අදහස්වලින් 1.0	a d^ @ h a s w @ l i n
අදහසින් 1.0	a d^ @ h a s i n
අදහසුත් 1.0	a d^ @ h a s u t^
අදහසෙන් 1.0	a d^ @ h a s e n
අදහසේ 1.0	a d^ @ h a s e:
අදහා 1.0	a d^ @ h a:
අදහාගත 1.0	a d^ @ h a: g @ t^ @
අදහාගෙන 1.0	a d^ @ h a: g e n @
අදළ 1.0	a d^ @ l @
අද්දර 1.0	a d^ d^ @ r @
අද්දරආරච්චි 1.0	a d^ d^ @ r @ a: r a c^ c^ i
අද්දරට 1.0	a d^ d^ @ r @ t @
අද්දවා 1.0	a d^ d^ @ w a:
අද්භුත 1.0	a d^ b u t^ @
අද්භූත 1.0	a d^ b u: t^ @
අද්මිරාල් 1.0	a d^ m i r a: l
අද්මිරාල්ගෙන් 1.0	a d^ m i r a: l g e n
අද්විතීය 1.0	a d^ w i t^ i: y @
අද්විතීයහ 1.0	a d^ w i t^ i: y @ h a
අද්‍යතන 1.0	a d^ y @ t^ @ n @
අද්‍යාත්මික 1.0	a d^ y a: t^ m i k @
අදායමක් 1.0	a d^ a: y @ m a k
අදායම් 1.0	a d^ a: y a m
අදාරෙට 1.0	a d^ a: r e t @
අදාල 1.0	a d^ a: l @
අදාළ 1.0	a d^ a: l @
අදාළයි 1.0	a d^ a: l a y i
අදි 1.0	a d^ i
අදිකාරම් 1.0	a d^ i k a: r a m
අදිකාරම්ගේ 1.0	a d^ i k a: r a m g e:
අදිකාරම්තුමා 1.0	a d^ i k a: r a m t^ u m a:
අදිටන 1.0	a d^ i t @ n @
අදිටන් 1.0	a d^ i t a n
අදිත 1.0	a d^ i t^ @
අදිත්‍යව 1.0	a d^ i t^ t^ y @ w @
අදිද්දී 1.0	a d^ i d^ d^ i:
අදින 1.0	a d^ i n @
අදිනකොට 1.0	a d^ i n @ k o t @
අදිනවා 1.0	a d^ i n @ w a:
අදින් 1.0	a d^ i n
අදින්න 1.0	a d^ i n n @
අදින්නෙ 1.0	a d^ i n n e
අදින්නෙත් 1.0	a d^ i n n e t^
අදින්නේ 1.0	a d^ i n n e:
අදිමදි 1.0	a d^ i m @ d^ i
අදිමින් 1.0	a d^ i m i n
අදියර 1.0	a d^ i y @ r @
අදියරක 1.0	a d^ i y @ r @ k @
අදියරට 1.0	a d^ i y @ r @ t @
අදියරේ 1.0	a d^ i y @ r e:
අදිසයරාජ් 1.0	a d^ i s @ y @ r a: j
අදිසි 1.0	a d^ i s i
අදීන 1.0	a d^ i: n @
අදීශ 1.0	a d^ i: s^ @
අදීසයන් 1.0	a d^ i: s @ y a n
අදුනා 1.0	a d^ u n a:
අදුර 1.0	a d^ u r @
අදුරට 1.0	a d^ u r @ t @
අදුරත් 1.0	a d^ u r a t^
අදුරන්නෙ 1.0	a d^ u r a n n e
අදුර්මිස්ටයෙකුට 1.0	a d^ u r m i s t @ y e k u t @
අදුරාගෙන 1.0	a d^ u r a: g e n @
අදුරු 1.0	a d^ u r u
අදුරෙන් 1.0	a d^ u r e n
අදූරදර්ශී 1.0	a d^ u: r @ d^ a r s^ i:
අදෘශ්‍යමාන 1.0	a d^ r u s^ s^ y @ m a: n @
අදෝස 1.0	a d^ o: s @
අධම 1.0	a d^ @ m @
අධම්ම 1.0	a d^ a m m @
අධය්‍යාපනයමේ 1.0	a d^ a y y y a: p @ n @ y @ m e:
අධයාපන 1.0	a d^ @ y a: p @ n @
අධර්ම 1.0	a d^ a r m @
අධර්මය 1.0	a d^ a r m @ y @
අධර්මයක් 1.0	a d^ a r m @ y a k
අධර්මයෙන් 1.0	a d^ a r m @ y e n
අධර්මිශ්ටයින් 1.0	a d^ a r m i s^ t @ y i n
අධර්මිෂ්ට 1.0	a d^ a r m i s^ t @
අධර්මිෂ්ඨකම් 1.0	a d^ a r m i s^ t @ k a m
අධර්මිෂ්ඨයා 1.0	a d^ a r m i s^ t @ y a:
අධ්‍යක්ශණයට 1.0	a d^ y a k s^ @ n @ y @ t @
අධ්‍යක්ෂ 1.0	a d^ y a k s^ @
අධ්‍යක්ෂක 1.0	a d^ y a k s^ @ k @
අධ්‍යක්ෂකගේ 1.0	a d^ y a k s^ @ k @ g e:
අධ්‍යක්ෂකට 1.0	a d^ y a k s^ @ k @ t @
අධ්‍යක්ෂකනම් 1.0	a d^ y a k s^ @ k @ n a m
අධ්‍යක්ෂකවරයා 1.0	a d^ y a k s^ @ k @ w @ r @ y a:
අධ්‍යක්ෂකවරයාගේ 1.0	a d^ y a k s^ @ k @ w @ r @ y a: g e:
අධ්‍යක්ෂකවරයාට 1.0	a d^ y a k s^ @ k @ w @ r @ y a: t @
අධ්‍යක්ෂකවරයෙක් 1.0	a d^ y a k s^ @ k @ w @ r @ y e k
අධ්‍යක්ෂණය 1.0	a d^ y a k s^ @ n @ y @
අධ්‍යක්ෂණයක් 1.0	a d^ y a k s^ @ n @ y a k
අධ්‍යක්ෂණයෙන් 1.0	a d^ y a k s^ @ n @ y e n
අධ්‍යක්ෂනේත් 1.0	a d^ y a k s^ @ n e: t^
අධ්‍යක්ෂලාත් 1.0	a d^ y a k s^ @ l a: t^
අධ්‍යක්ෂවරයකුගේ 1.0	a d^ y a k s^ @ w @ r @ y @ k u g e:
අධ්‍යක්ෂවරයා 1.0	a d^ y a k s^ @ w @ r @ y a:
අධ්‍යක්ෂවරයෙක් 1.0	a d^ y a k s^ @ w @ r @ y e k
අධ්‍යක්ෂවරු 1.0	a d^ y a k s^ @ w @ r u
අධ්‍යක්ෂිකා 1.0	a d^ y a k s^ i k a:
අධ්‍යක්‍ෂණයේ 1.0	a d^ y a k k s^ @ n @ y e:
අධ්‍යනවලින් 1.0	a d^ y @ n @ w @ l i n
අධ්‍යනාංශ 1.0	a d^ y @ n a: x s^ @
අධ්‍යපනයක් 1.0	a d^ y @ p @ n @ y a k
අධ්‍යයන 1.0	a d^ y @ y @ n @
අධ්‍යයනය 1.0	a d^ y @ y @ n @ y @
අධ්‍යයනයක 1.0	a d^ y @ y @ n @ y @ k @
අධ්‍යයනයක් 1.0	a d^ y @ y @ n @ y a k
අධ්‍යයනයකින් 1.0	a d^ y @ y @ n @ y @ k i n
අධ්‍යයනයට 1.0	a d^ y @ y @ n @ y @ t @
අධ්‍යයනයන් 1.0	a d^ y @ y @ n @ y a n
අධ්‍යයනයන්හි 1.0	a d^ y @ y @ n @ y a n h i
අධ්‍යයනයෙන් 1.0	a d^ y @ y @ n @ y e n
අධ්‍යයනයේ 1.0	a d^ y @ y @ n @ y e:
අධ්‍යයනවේදී 1.0	a d^ y @ y @ n @ w e: d^ i:
අධ්‍යයනාංශ 1.0	a d^ y @ y @ n a: x s^ @
අධ්‍යෂකවරයාම 1.0	a d^ y @ s^ @ k @ w @ r @ y a: m @
අධ්‍යාත්ම 1.0	a d^ y a: t^ m @
අධ්‍යාත්මය 1.0	a d^ y a: t^ m @ y @
අධ්‍යාත්මික 1.0	a d^ y a: t^ m i k @
අධ්‍යාත්මිත 1.0	a d^ y a: t^ m i t^ @
අධ්‍යාපන 1.0	a d^ y a: p @ n @
අධ්‍යාපනය 1.0	a d^ y a: p @ n @ y @
අධ්‍යාපනයක් 1.0	a d^ y a: p @ n @ y a k
අධ්‍යාපනයකින් 1.0	a d^ y a: p @ n @ y @ k i n
අධ්‍යාපනයට 1.0	a d^ y a: p @ n @ y @ t @
අධ්‍යාපනයටත් 1.0	a d^ y a: p @ n @ y @ t a t^
අධ්‍යාපනයත් 1.0	a d^ y a: p @ n @ y a t^
අධ්‍යාපනයයි 1.0	a d^ y a: p @ n @ y a y i
අධ්‍යාපනයෙන් 1.0	a d^ y a: p @ n @ y e n
අධ්‍යාපනයෙහි 1.0	a d^ y a: p @ n @ y e h i
අධ්‍යාපනයේ 1.0	a d^ y a: p @ n @ y e:
අධ්‍යාපනවේදීන් 1.0	a d^ y a: p @ n @ w e: d^ i: n
අධ්‍යාපනික 1.0	a d^ y a: p @ n i k @
අධාපනයක් 1.0	a d^ a: p @ n @ y a k
අධාරයෙන් 1.0	a d^ a: r @ y e n
අධාර්මික 1.0	a d^ a: r m i k @
අධි 1.0	a d^ i
අධිආරක්ෂිත 1.0	a d^ i a: r a k s^ i t^ @
අධික 1.0	a d^ i k @
අධිකතර 1.0	a d^ i k @ t^ @ r @
අධිකම 1.0	a d^ i k @ m @
අධිකයි 1.0	a d^ i k a y i
අධිකරණ 1.0	a d^ i k @ r @ n @
අධිකරණමය 1.0	a d^ i k @ r @ n @ m @ y @
අධිකරණය 1.0	a d^ i k @ r @ n @ y @
අධිකරණයට 1.0	a d^ i k @ r @ n @ y @ t @
අධිකරණයෙන් 1.0	a d^ i k @ r @ n @ y e n
අධිකරණයෙහි 1.0	a d^ i k @ r @ n @ y e h i
අධිකරණයේ 1.0	a d^ i k @ r @ n @ y e:
අධිකරණවලින් 1.0	a d^ i k @ r @ n @ w @ l i n
අධිකරන 1.0	a d^ i k @ r @ n @
අධිකාරම්ලා 1.0	a d^ i k a: r a m l a:
අධිකාරය 1.0	a d^ i k a: r @ y @
අධිකාරවාදී 1.0	a d^ i k a: r @ w a: d^ i:
අධිගම 1.0	a d^ i g @ m @
අධිගෘහිත 1.0	a d^ i g r u h i t^ @
අධිචිත්ත 1.0	a d^ i c^ i t^ t^ @
අධිචිත්තේ 1.0	a d^ i c^ i t^ t^ e:
අධිතක්සේරුවෙනි 1.0	a d^ i t^ a k s e: r u w e n i
අධිනිශ්චය 1.0	a d^ i n i s^ c^ @ y @
අධිපති 1.0	a d^ i p @ t^ i
අධිපතියා 1.0	a d^ i p @ t^ i y a:
අධිපතිවාදය 1.0	a d^ i p @ t^ i w a: d^ @ y @
අධිපතිවාදී 1.0	a d^ i p @ t^ i w a: d^ i:
අධිමානසික 1.0	a d^ i m a: n @ s i k @
අධියථාර්ථවාදය 1.0	a d^ i y @ t^ a: r t^ @ w a: d^ @ y @
අධිරාජ 1.0	a d^ i r a: j @
අධිරාජයටත් 1.0	a d^ i r a: j @ y @ t a t^
අධිරාජයා 1.0	a d^ i r a: j @ y a:
අධිරාජයායි 1.0	a d^ i r a: j @ y a: y i
අධිරාජ්‍ය 1.0	a d^ i r a: j j y @
අධිරාජ්‍යන් 1.0	a d^ i r a: j j y a n
අධිරාජ්‍යය 1.0	a d^ i r a: j j y @ y @
අධිරාජ්‍යයන් 1.0	a d^ i r a: j j y @ y a n
අධිරාජ්‍යයන්ට 1.0	a d^ i r a: j j y @ y a n t @
අධිරාජ්‍යයයේ 1.0	a d^ i r a: j j y @ y @ y e:
අධිරාජ්‍යයේ 1.0	a d^ i r a: j j y @ y e:
අධිරාජ්‍යවාදය 1.0	a d^ i r a: j j y @ w a: d^ @ y @
අධිරාජ්‍යවාදයට 1.0	a d^ i r a: j j y @ w a: d^ @ y @ t @
අධිරාජ්‍යවාදී 1.0	a d^ i r a: j j y @ w a: d^ i:
අධිරාජ්‍යවාදීන් 1.0	a d^ i r a: j j y @ w a: d^ i: n
අධිරාජ්‍යවාදීන්ට 1.0	a d^ i r a: j j y @ w a: d^ i: n t @
අධිරෝපණකාමයයි 1.0	a d^ i r o: p @ n @ k a: m @ y a y i
අධිවේගයෙන් 1.0	a d^ i w e: g @ y e n
අධිවේගි 1.0	a d^ i w e: g i
අධිවේගී 1.0	a d^ i w e: g i:
අධිවේගීමාර්ගයේ 1.0	a d^ i w e: g i: m a: r g @ y e:
අධිවේගේ 1.0	a d^ i w e: g e:
අධිශීලය 1.0	a d^ i s^ i: l @ y @
අධිශීලයෙහි 1.0	a d^ i s^ i: l @ y e h i
අධිෂ්ටාන 1.0	a d^ i s^ t a: n @
අධිෂ්ඨාන 1.0	a d^ i s^ t a: n @
අධිෂ්ඨානය 1.0	a d^ i s^ t a: n @ y @
අධිෂ්ඨානයක් 1.0	a d^ i s^ t a: n @ y a k
අධිෂ්ඨානයකින් 1.0	a d^ i s^ t a: n @ y @ k i n
අධිෂ්ඨානයෙන් 1.0	a d^ i s^ t a: n @ y e n
අධිෂ්ඨානයෙනුත් 1.0	a d^ i s^ t a: n @ y e n u t^
අධිසීල 1.0	a d^ i s i: l @
අධීක්ෂණ 1.0	a d^ i: k s^ @ n @
අධීක්ෂණය 1.0	a d^ i: k s^ @ n @ y @
අධීක්ෂණයක් 1.0	a d^ i: k s^ @ n @ y a k
අධීක්ෂණයට 1.0	a d^ i: k s^ @ n @ y @ t @
අධෝ 1.0	a d^ o:
අනං 1.0	a n a x
අනගි 1.0	a n @ g i
අනත් 1.0	a n a t^
අනත්දරු 1.0	a n a t^ d^ @ r u
අනතිමානී 1.0	a n @ t^ i m a: n i:
අනතුර 1.0	a n @ t^ u r @
අනතුරකට 1.0	a n @ t^ u r @ k @ t @
අනතුරක් 1.0	a n @ t^ u r a k
අනතුරකින් 1.0	a n @ t^ u r @ k i n
අනතුරට 1.0	a n @ t^ u r @ t @
අනතුරටපත් 1.0	a n @ t^ u r @ t @ p a t^
අනතුරරේ 1.0	a n @ t^ u r @ r e:
අනතුරු 1.0	a n @ t^ u r u
අනතුරුදායක 1.0	a n @ t^ u r u d^ a: y @ k @
අනතුරුවයි 1.0	a n @ t^ u r u w a y i
අනතුරුවලට 1.0	a n @ t^ u r u w @ l @ t @
අනතුරුවලින් 1.0	a n @ t^ u r u w @ l i n
අනතුරෙන් 1.0	a n @ t^ u r e n
අනතුරේ 1.0	a n @ t^ u r e:
අනධ්‍යයන 1.0	a n a d^ d^ y @ y @ n @
අනන් 1.0	a n a n
අනන්ත 1.0	a n a n t^ @
අනන්තය 1.0	a n a n t^ @ y @
අනන්තයට 1.0	a n a n t^ @ y @ t @
අනන්තයි 1.0	a n a n t^ a y i
අනන්තවත් 1.0	a n a n t^ @ w a t^
අනන්තායතන 1.0	a n a n t^ a: y @ t^ @ n @
අනන්නෙමු 1.0	a n a n n e m u
අනන්‍ය 1.0	a n a n n y @
අනන්‍යතා 1.0	a n a n n y @ t^ a:
අනන්‍යතාව 1.0	a n a n n y @ t^ a: w @
අනන්‍යතාවට 1.0	a n a n n y @ t^ a: w @ t @
අනන්‍යතාවය 1.0	a n a n n y @ t^ a: w @ y @
අනන්‍යතාවයට 1.0	a n a n n y @ t^ a: w @ y @ t @
අනන්‍යතාවයනම් 1.0	a n a n n y @ t^ a: w @ y @ n a m
අනනු 1.0	a n @ n u
අනපේක්ෂිත 1.0	a n @ p e: k s^ i t^ @
අනම් 1.0	a n a m
අනමු 1.0	a n @ m u
අනයි 1.0	a n a y i
අනර්කලී 1.0	a n a r k @ l i:
අනර්ග 1.0	a n a r g @
අනර්ඝ 1.0	a n a r g @
අනර්ඝතම 1.0	a n a r g @ t^ @ m @
අනර්තයකි 1.0	a n a r t^ @ y @ k i
අනර්ථයන් 1.0	a n a r t^ @ y a n
අනලස් 1.0	a n @ l a s
අනල්ප 1.0	a n a l p @
අනලා 1.0	a n @ l a:
අනවකාශයි 1.0	a n @ w @ k a: s^ a y i
අනවජ්ජ 1.0	a n @ w a j j @
අනවතප්ත 1.0	a n @ w @ t^ a p t^ @
අනවබෝධය 1.0	a n @ w @ b o: d^ @ y @
අනවබෝධයෙන් 1.0	a n @ w @ b o: d^ @ y e n
අනවරත 1.0	a n @ w @ r @ t^ @
අනවශයි 1.0	a n @ w @ s^ a y i
අනවශ්‍ය 1.0	a n @ w a s^ s^ y @
අනවසර 1.0	a n @ w @ s @ r @
අනවසරයෙන් 1.0	a n @ w @ s @ r @ y e n
අන් 1.0	a n
අන්කල් 1.0	a n k a l
අන්කල්ලා 1.0	a n k a l l a:
අන්කල්ව 1.0	a n k a l w @
අන්කලුයි 1.0	a n k a l u y i
අන්කවරෙකු 1.0	a n k @ w @ r e k u
අන්ත 1.0	a n t^ @
අන්තගාමී 1.0	a n t^ @ g a: m i:
අන්තපුර 1.0	a n t^ @ p u r @
අන්තය 1.0	a n t^ @ y @
අන්තයක 1.0	a n t^ @ y @ k @
අන්තයකට 1.0	a n t^ @ y @ k @ t @
අන්තයට 1.0	a n t^ @ y @ t @
අන්තයම 1.0	a n t^ @ y @ m @
අන්තයි 1.0	a n t^ a y i
අන්තයේ 1.0	a n t^ @ y e:
අන්තරජාලයෙන් 1.0	a n t^ @ r @ j a: l @ y e n
අන්තරය 1.0	a n t^ @ r @ y @
අන්තරයේ 1.0	a n t^ @ r @ y e:
අන්තරස්දාන 1.0	a n t^ @ r a s d^ a: n @
අන්තර් 1.0	a n t^ @ r
අන්තර්ගත 1.0	a n t^ a r g @ t^ @
අන්තර්ගතකොට 1.0	a n t^ a r g @ t^ @ k o t @
අන්තර්ගතය 1.0	a n t^ a r g @ t^ @ y @
අන්තර්ගතයත් 1.0	a n t^ a r g @ t^ @ y a t^
අන්තර්ගතයි 1.0	a n t^ a r g @ t^ a y i
අන්තර්ගතයේ 1.0	a n t^ a r g @ t^ @ y e:
අන්තර්ගතවීමේහි 1.0	a n t^ a r g @ t^ @ w i: m e: h i
අන්තර්ජාතික 1.0	a n t^ a r j a: t^ i k @
අන්තර්ජාල 1.0	a n t^ a r j a: l @
අන්තර්ජාලය 1.0	a n t^ a r j a: l @ y @
අන්තර්ජාලයට 1.0	a n t^ a r j a: l @ y @ t @
අන්තර්ජාලයෙත් 1.0	a n t^ a r j a: l @ y e t^
අන්තර්ජාලයෙන් 1.0	a n t^ a r j a: l @ y e n
අන්තර්ජාලයේ 1.0	a n t^ a r j a: l @ y e:
අන්තර්ජාලෙට 1.0	a n t^ a r j a: l e t @
අන්තර්ජාලෙටත් 1.0	a n t^ a r j a: l e t a t^
අන්තර්ජාලේ 1.0	a n t^ a r j a: l e:
අන්තර්දෘෂ්ටිය 1.0	a n t^ a r d^ r u s^ t i y @
අන්තර්ධාන 1.0	a n t^ a r d^ a: n @
අන්තරාදායක 1.0	a n t^ @ r a: d^ a: y @ k @
අන්තරායකර 1.0	a n t^ @ r a: y @ k @ r @
අන්තරායක් 1.0	a n t^ @ r a: y a k
අන්තරාවක් 1.0	a n t^ @ r a: w a k
අන්තරේ 1.0	a n t^ @ r e:
අන්තවාදය 1.0	a n t^ @ w a: d^ @ y @
අන්තවාදයක් 1.0	a n t^ @ w a: d^ @ y a k
අන්තවාදයට 1.0	a n t^ @ w a: d^ @ y @ t @
අන්තවාදයන් 1.0	a n t^ @ w a: d^ @ y a n
අන්තවාදයයි 1.0	a n t^ @ w a: d^ @ y a y i
අන්තවාදයේ 1.0	a n t^ @ w a: d^ @ y e:
අන්තවාදි 1.0	a n t^ @ w a: d^ i
අන්තවාදින් 1.0	a n t^ @ w a: d^ i n
අන්තවාදින්ට 1.0	a n t^ @ w a: d^ i n t @
අන්තවාදියා 1.0	a n t^ @ w a: d^ i y a:
අන්තවාදියෙක් 1.0	a n t^ @ w a: d^ i y e k
අන්තවාදී 1.0	a n t^ @ w a: d^ i:
අන්තවාදීනට 1.0	a n t^ @ w a: d^ i: n @ t @
අන්තවාදීන් 1.0	a n t^ @ w a: d^ i: n
අන්තවාදීන්ට 1.0	a n t^ @ w a: d^ i: n t @
අන්තවාදේට 1.0	a n t^ @ w a: d^ e: t @
අන්ත් 1.0	a n t^
අන්ත්වාදයක්ට 1.0	a n t^ w a: d^ @ y a k t @
අන්ත්‍රාවක් 1.0	a n t^ t^ r a: w a k
අන්තිම 1.0	a n t^ i m @
